conjunction_id,creation_date,tca,miss_distance,relative_speed,relative_position_r,relative_position_t,relative_position_n,relative_velocity_r,relative_velocity_t,relative_velocity_n,rel_pos_mag,rel_vel_mag,miss_distance_log,relative_speed_log,rel_pos_mag_log,rel_vel_mag_log,collision_probability,collision_max_probability,cluster,dbscan_label,iso_anomaly,object1_object_designator,object2_object_designator,object1_object_type,object2_object_type,object1_maneuverable,object2_maneuverable,anomaly_flag
10602746,35:46.2,00:20.4,428.0955492,14906.11997,-9.719051479,71.39051372,-421.9890209,70.23615872,-14695.25442,-2497.394042,428.0955491137436,14906.119970922626,6.061679619536321,9.609594228135007,6.061679619335302,9.6095942281969,1.5014e-05,0.001186003,0,0,,33643,55926,DEBRIS,PAYLOAD,NO,,False
10825495,18:08.1,00:45.3,429.193011,0.614549761,-148.2672362,401.8303766,-27.49210527,-0.579150522,0.161211806,-0.127541505,429.1930110580334,0.6145497612271272,6.064233970769538,0.4790561320481323,6.064233970904439,0.47905613218880755,4.3198e-05,0.00328961,1,1,,36605,31698,PAYLOAD,PAYLOAD,,,False
10513294,17:01.4,27:26.5,131.0790293,14860.80558,-26.90205134,25.64897501,-125.6985347,20.67128127,-14576.92338,-2890.747319,131.07902925750824,14860.805583499357,4.883400450251129,9.606549816947014,4.883400449929415,9.606549817182474,5.93417e-05,0.001997952,0,0,,40032,55641,PAYLOAD,PAYLOAD,,,False
10746620,34:22.7,35:43.9,250.6367588,4649.035286,-33.53884713,-236.1674579,76.93414344,2.160176621,-1425.217392,-4425.186981,250.63675880565538,4649.035286770171,5.527986614313679,8.444630086939707,5.527986614336154,8.444630087105335,2.56209e-05,0.0014531,0,0,,52482,52986,PAYLOAD,PAYLOAD,,,False
10803691,15:39.6,53:06.1,195.5975399,4672.625692,-6.891322246,-186.0849798,59.86056799,6.196233602,-1437.969536,-4445.856057,195.59753993736743,4672.625692192612,5.281158694409953,8.44969042887958,5.281158694600024,8.44969042892079,1.634e-05,0.00152365,0,0,,46334,47994,PAYLOAD,PAYLOAD,,,False
10568220,29:51.9,53:32.5,113.1129218,4677.115695,-6.07237071,107.342303,35.1466839,-2.09933289,-1442.79387,4449.017045,113.11292184604726,4677.115695084813,4.737188500236652,8.450650678561258,4.737188500640175,8.450650678579388,2.13324e-05,0.002017538,0,0,,52300,53574,PAYLOAD,PAYLOAD,,,False
10271251,03:32.3,54:56.9,134.1858939,15263.03595,127.3365271,-5.318457202,-41.98781976,16.87883643,-15260.83091,258.8849389,134.185893927405,15263.035948667615,4.906650823106411,9.633254748900178,4.906650823309132,9.63325474881289,7.78216e-05,0.004003539,0,0,,44391,14551,PAYLOAD,PAYLOAD,,,False
10831886,05:34.4,54:57.3,182.9069301,15262.98094,136.7471637,-4.001869012,121.4048737,16.94497086,-15260.77488,258.940561,182.90693014125176,15262.980943583972,5.214429814967676,9.63325114499756,5.214429815191984,9.63325114523236,0.002556843,0.003653005,0,0,,44391,14551,PAYLOAD,PAYLOAD,,,False
10471671,17:11.7,33:02.7,441.1062293,15029.13805,59.5740497,-29.92047247,-436.0394517,140.4000622,-14989.7102,1078.826371,441.10622927966307,15029.138045683618,6.091550190984005,9.617812667668245,6.091550190938005,9.617812667381063,0.000298969,0.001258069,0,0,,29678,28897,PAYLOAD,DEBRIS,,NO,False
10618770,58:59.4,33:02.7,411.9892284,15029.1517,60.39628303,-25.88240588,-406.7155202,140.4364238,-14989.72326,1078.830299,411.9892283901771,15029.151693111466,6.023421511264976,9.617813575843124,6.0234215112411915,9.61781357538481,2.86689e-05,0.001164911,0,0,,29678,28897,PAYLOAD,DEBRIS,,NO,False
10693201,19:41.3,33:02.8,378.5110348,15029.14435,51.23038296,-21.08474482,-374.4348874,140.4548332,-14989.71404,1078.853797,378.51103485183023,15029.144356098377,5.938883673619802,9.617813086825985,5.938883673756373,9.617813087231728,2.39682e-07,0.001129689,0,0,,29678,28897,PAYLOAD,DEBRIS,,NO,False
10825502,24:14.0,37:09.9,498.3137222,0.671923546,-160.6877494,470.1352062,-38.32624212,-0.636922851,0.174672927,-0.12369277,498.31372221823733,0.6719235454298267,6.2132346000049425,0.513974787540486,6.213234600041467,0.5139747871994576,4.11704e-05,0.002799336,1,1,,36605,31698,PAYLOAD,PAYLOAD,,,False
